case,mode,seed,model,epochs,wall_sec,training_samples_per_wall_sec,final_accuracy,model_hash,trace_hash,pair_match,load_start,load_end,return_code,valid,log,requests,unique_samples,dropped,miss_rate,p50_ms,p95_ms,p99_ms,goodput,stream_seconds,train_completion_seconds,online_accuracy,max_train_pause_seconds,train_updates,controller_seconds,decisions,guard_overrides,neural_parameters,neural_updates
longer,fifo,101,resnet20,2,52.98922485602088,1887.176124423672,0.3823,89725a2b35837cd48a4f28871f4c6d8052009901f47a6a86df55fb0076d68f32,20bbae7fab9c320ec95eff30ce71da582d1fd50ba3b57a75519c59dc87800a9e,True,2.65,4.45,0,True,longer_fifo_seed101.log,6000,6000,0,0.02083333333333337,12.930808175150688,29.410315362337172,142.6725073039628,195.70445718576806,30.019755730056204,44.094714106060565,0.237,0.3493611740414053,1580,0.4036606003064662,1630,0,0,0
longer,slack,101,resnet20,2,48.885711835930124,2045.5874783130762,0.3823,89725a2b35837cd48a4f28871f4c6d8052009901f47a6a86df55fb0076d68f32,20bbae7fab9c320ec95eff30ce71da582d1fd50ba3b57a75519c59dc87800a9e,True,4.45,4.22,0,True,longer_slack_seed101.log,6000,6000,0,0.04066666666666663,34.710123315671254,90.6423834813356,195.76270938341324,191.84078573913163,30.004047251073644,40.059752617031336,0.23533333333333334,0.34678713290486485,1580,0.2914169846335426,1418,16,0,0
longer,debt,101,resnet20,2,54.386203326052055,1838.7016170348859,0.3823,89725a2b35837cd48a4f28871f4c6d8052009901f47a6a86df55fb0076d68f32,20bbae7fab9c320ec95eff30ce71da582d1fd50ba3b57a75519c59dc87800a9e,True,4.22,3.46,0,True,longer_debt_seed101.log,6000,6000,0,0.01983333333333337,12.789080883604864,32.42828735915472,150.7560951272653,195.93238875759906,30.015456032007933,45.21937326306943,0.22733333333333333,0.346165937022306,1580,0.4750148741295561,1797,111,0,0
longer,neural,101,resnet20,2,54.64809698890895,1829.8898865644928,0.3823,89725a2b35837cd48a4f28871f4c6d8052009901f47a6a86df55fb0076d68f32,20bbae7fab9c320ec95eff30ce71da582d1fd50ba3b57a75519c59dc87800a9e,True,3.46,2.97,0,True,longer_neural_seed101.log,6000,6000,0,0.023833333333333373,13.293257758986154,29.871353653229626,156.6345468621732,195.19264327945717,30.006253830040805,45.522464524023235,0.2285,0.3571816269541159,1580,0.5227961419150233,1784,105,65,419
longer,slack,202,resnet20,2,44.22692453593481,2261.066105076988,0.3717,2d1050790e3d55002e4424dc26dd8e9c0b77ae5d7db7a5fa2c13706662ed8fd8,5ca3c4cc86b2311591037a5da83b9fc9cb143d3d3b5be78ad28921de80407f47,True,2.97,5.27,0,True,longer_slack_seed202.log,6000,6000,0,0.04066666666666663,37.4071880057234,90.84309118195294,183.9817259003965,191.74586728799213,30.018899918999523,35.299579710001126,0.23116666666666666,0.35297260293737054,1580,0.27290369651746005,1538,12,0,0
longer,debt,202,resnet20,2,51.30125951394439,1949.2698804562222,0.3717,2d1050790e3d55002e4424dc26dd8e9c0b77ae5d7db7a5fa2c13706662ed8fd8,5ca3c4cc86b2311591037a5da83b9fc9cb143d3d3b5be78ad28921de80407f47,True,5.27,4.44,0,True,longer_debt_seed202.log,6000,6000,0,0.021333333333333315,12.051095803913725,32.67363283995569,146.80510601643215,195.64900441871674,30.012930643046275,42.58353728300426,0.23666666666666666,0.3466786480275914,1580,0.45804945030249655,1843,122,0,0
longer,neural,202,resnet20,2,52.99307872494683,1887.0388814176288,0.3717,2d1050790e3d55002e4424dc26dd8e9c0b77ae5d7db7a5fa2c13706662ed8fd8,5ca3c4cc86b2311591037a5da83b9fc9cb143d3d3b5be78ad28921de80407f47,True,4.44,6.34,0,True,longer_neural_seed202.log,6000,6000,0,0.02733333333333332,12.433776820120812,39.223304569682824,155.1951094512758,194.44287948380352,30.013955849106424,43.76801386103034,0.23133333333333334,0.3258701659506187,1580,0.5184599803760648,1819,90,65,424
longer,fifo,202,resnet20,2,48.68442067201249,2054.045187755261,0.3717,2d1050790e3d55002e4424dc26dd8e9c0b77ae5d7db7a5fa2c13706662ed8fd8,5ca3c4cc86b2311591037a5da83b9fc9cb143d3d3b5be78ad28921de80407f47,True,6.34,5.55,0,True,longer_fifo_seed202.log,6000,6000,0,0.022833333333333372,12.232782181472501,35.47767099753233,155.1370037152181,195.35761492890944,30.011627661064267,39.84482080396265,0.23083333333333333,0.35210579610429704,1580,0.3933240018086508,1675,0,0,0
deeper_bursty,debt,101,resnet56,1,47.17691273894161,1059.8404409521293,0.1853,a5bdbc35ea72490948cf07b77fa4883ceb3b03298bf07647929709c279c6a436,8d909849a6676f39f9d1d40daf6fbe0f561589667c9910a92f968b14ad380fd5,True,5.55,4.42,0,True,deeper_bursty_debt_seed101.log,6000,6000,0,0.129,8.09221914793845,45.52451300322345,144.27180440219894,172.2977029073314,30.33122271404136,37.498449441976845,0.18583333333333332,0.41316681099124253,790,0.34619947464670986,1600,1600,0,0
deeper_bursty,neural,101,resnet56,1,48.168389233993366,1038.0251612132804,0.1853,a5bdbc35ea72490948cf07b77fa4883ceb3b03298bf07647929709c279c6a436,8d909849a6676f39f9d1d40daf6fbe0f561589667c9910a92f968b14ad380fd5,True,4.42,6.26,0,True,deeper_bursty_neural_seed101.log,6000,6000,0,0.10583333333333333,8.3065540780769,39.803700217463955,73.08439930852265,178.83854697192712,29.999125416972674,38.11261519405525,0.19316666666666665,0.36529825592879206,790,0.39735495031345636,1593,1593,65,297
